menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Featured items,,,,Loaded Nachos,21.00,standard,Loaded Nachos,,,,https://tb-static.uber.com/prod/image-proc/processed_images/8297b9d8914a7f0837491dcd166ea529/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Fish and Chips,20.70,standard,"Beer batter crispy fish fried on to order, cajun fries, tartare sauce, farm salad, dressing and lemon.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/12a0044bfb9835be3e5a410394f43f9c/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Spicy Bird Burger,17.25,standard,"Buttermilk fried chicken, kimchi aioli, creamy slaw, jalapeno and bird's eye chilli pineapple salsa.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/2c14efbe5d2c825d16b0e64f6f5b26bd/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Fishy Burger,18.40,standard,"Beer battered crispy fish fried on to order, pickles, lettuce, tomato and house blend tartare sauce.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/954d2ed68813e1f330cd947bf03c94a5/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,The Dominator Burger,20.70,standard,"Blend beef mince, caramelised onion, smokey tomato jam, bacon, smoked cheese and dominator creamy sauce.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/e43db2ec586566c3cb320eb20aa133b3/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Featured items,,,,Bombay Fried Chicken,20.70,standard,Bombay Fried Chicken,,,,https://tb-static.uber.com/prod/image-proc/processed_images/bfdb1b15ebf4366178434b4b3cc95bf9/70aa2a4db7f990373ca9c376323e3dea.jpeg
,Menu,,,,Burgers,,,,Spicy Bird Burger,17.25,standard,"Buttermilk fried chicken, kimchi aioli, creamy slaw, jalapeno and bird's eye chilli pineapple salsa.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/b34212ead25bf1ccb007f59da4c99cfa/3abbb396d0be3ff6a49b6a54e2ba05e9.jpeg
,Menu,,,,Burgers,,,,Grill Thrill Burger,18.40,standard,"Cajun marinade grilled chicken, pickled aioli, capsicum and onion fajita, onion ring, tomato, fancy lettuce, tomato chutney and cheddar cheese.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/17ce42590a9818209b8f5b9dc3352357/2864c2278ae9bdfd9d9ba184ec7cdd21.jpeg
,Menu,,,,Burgers,,,,The Dominator Burger,20.70,standard,"Blend beef mince, caramelised onion, smokey tomato jam, bacon, smoked cheese and dominator creamy sauce.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/f5604bf6fca5acb5d1a0ff2d513a6190/0fa4eef3db2df928e5cca6091f3636d2.jpeg
,Menu,,,,Burgers,,,,Smashed It Burger,20.70,standard,"Slow cooked beef brisket, gohchujang mayonnaise, creamy slaw, chimichurri and pink pickle cabbage.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/4c46d8c5b637df3b5470fe57966544cf/cd44aad7ad85354a820cd17b9bae8fe1.jpeg
