menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Chef Recommendations,,,,Bun Cha Hanoi,25.00,standard,"Hanoi style grilled pork with vermicelli noodles, herbs and dipping sauce.",,,
,Menu,,,,Chef Recommendations,,,,Braised Lamb Shank Fusion,27.00,standard,Slow cooked lamb shank infused with Asian spices. Comes with rice,,,
,Menu,,,,Chef Recommendations,,,,Hong Kong Style Seafood Medley,28.00,standard,Stir fried seafood in a sauce.,,,
,Menu,,,,Chef Recommendations,,,,Steamed Fish Fillet with Special Sauce,27.00,standard,"Steamed fish fillet with soy sauce, ginger, and garlic for a delicate, aromatic flavor. Comes with rice",,,
,Menu,,,,Chef Recommendations,,,,Charsiu Pork Noodles,28.00,standard,"Egg noodles with char siu pork and pok choy, tossed in savory char siu sauce.",,,
,Menu,,,,Chef Recommendations,,,,Honey Lemon Chicken,26.00,standard,Batter chicken pieces tossed with honey lemon sauce. Comes with rice,,,
,Menu,,,,Chef Recommendations,,,,Fiery Beef Salad,25.00,standard,Sliced beef with chilli lime dressing and mixed greens. Comes with rice,,,
,Menu,,,,Chef Recommendations,,,,Tom Kha Delight,23.00,standard,Coconut milk soup with a hint of chilli and herbs. Comes with rice,,,
,Menu,,,,Featured items,,,,Pad Thai,23.00,standard,"Stir-fried rice noodles with shrimp, eggs, and bean sprouts, topped with peanuts and tangy tamarind sauce.",,,
,Menu,,,,Featured items,,,,Green Curry,23.00,standard,"Thai green curry with coconut milk, basil and vegetables. Comes with rice",,,
,Menu,,,,Featured items,,,,Panang Curry,23.00,standard,"Simmered curry with coconut milk and Panang curry paste, offering a rich, nutty, and creamy flavor. Comes with rice",,,
,Menu,,,,Featured items,,,,Crispy Chicken with Cashew Nuts,23.00,standard,"Battered chicken stir-fried with roasted cashew nuts, served with jasmine rice for a satisfying crunch.",,,
,Menu,,,,Featured items,,,,Honey Lemon Chicken,26.00,standard,Batter chicken pieces tossed with honey lemon sauce. Comes with rice,,,
,Menu,,,,Featured items,,,,Black Pepper Blaze,23.00,standard,Spicy stir fried with cracked black pepper. Served with jasmine rice. Comes with rice,,,
,Menu,,,,Featured items,,,,Red Curry,23.00,standard,"Creamy coconut milk and red curry paste blend for a rich, aromatic dish. Comes with rice",,,
,Menu,,,,Featured items,,,,Fiery Beef Salad,25.00,standard,Sliced beef with chilli lime dressing and mixed greens. Comes with rice,,,
,Menu,,,,Featured items,,,,Tom Kha Delight,23.00,standard,Coconut milk soup with a hint of chilli and herbs. Comes with rice,,,
,Menu,,,,Stir Fry,,,,Sweet and Sour Fusion,23.00,standard,"Stir-fried pineapple in a sweet and sour sauce, served with jasmine rice for a delightful fusion experience.",,,
