menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Featured Items,,,,Butter Chicken,22.50,standard,Boneless tandoori chicken pieces simmered in rich tomato and creamy sauce.,,,
,Menu,,,,Featured Items,,,,Chicken Biryani,20.00,standard,Chicken cooked with rice and on a slow fire and served with raita.,,,
,Menu,,,,Featured Items,,,,Chicken Pasanda,22.50,standard,"Boneless chicken pieces cooked with aromatic herbs, and spices in almond and tomato gravy.",,,
,Menu,,,,Featured Items,,,,Lamb Rogan Josh,23.50,standard,Lamb Cooked in traditional Kashmiri style.,,,
,Menu,,,,Featured Items,,,,Samosa,10.00,standard,"Triangular pastry stuffed with potatoes and peas deep fried until crispy, served with tamarind sauce.",,,
,Menu,,,,Featured Items,,,,South Indian Brinjal Curry,21.50,standard,Eggplant cooked in whole spices sabut garam masala onion tomato and finished with coriander leaves.,,,
,Menu,,,,Featured Items,,,,Palak Paneer,20.90,standard,"Cubes of cheese cooked with spinach, tomato and onion gravy.",,,
,Menu,,,,Most Ordered,,,,Butter Chicken,22.50,standard,Boneless tandoori chicken pieces simmered in rich tomato and creamy sauce.,,,
,Menu,,,,Most Ordered,,,,Chicken Biryani,20.00,standard,Chicken cooked with rice and on a slow fire and served with raita.,,,
,Menu,,,,Most Ordered,,,,Samosa,10.00,standard,"Triangular pastry stuffed with potatoes and peas deep fried until crispy, served with tamarind sauce.",,,
,Menu,,,,Most Ordered,,,,Lamb Rogan Josh,23.50,standard,Lamb Cooked in traditional Kashmiri style.,,,
,Menu,,,,Most Ordered,,,,Chicken Pasanda,22.50,standard,"Boneless chicken pieces cooked with aromatic herbs, and spices in almond and tomato gravy.",,,
,Menu,,,,Most Ordered,,,,Garlic Naan,6.00,standard,"Bread made of refined flour sprinkled with crushed garlic, and baked in tandoor.",,,
,Menu,,,,Most Ordered,,,,Buttar chicken +rice + Naan+drink,26.50,standard,"Tender chicken in creamy tomato gravy, served with aromatic rice, warm Naan bread, and a refreshing drink.",,,
,Menu,,,,Most Ordered,,,,Cheese Naan,7.00,standard,Bread stuffed with cheese. Baked in tandoor.,,,
,Menu,,,,Most Ordered,,,,Onion Bhaji,10.50,standard,"Sliced onion spiced and mixed with chick pea and fried until golden, served with tamarind sauce.",,,
,Menu,,,,Most Ordered,,,,Chicken korma +rice +Naan+drink,26.50,standard,"Tender chicken in creamy korma sauce, served with rice, Naan, and a choice of beverage.",,,
,Menu,,,,Most Ordered,,,,Chicken Korma,22.50,standard,Chicken simmered in rich cashew nut creamy sauce.,,,
,Menu,,,,Most Ordered,,,,Chicken Tikka Masala,22.50,standard,"Boneless tandoori chicken cooked in onion, capsicum and tomato sauce with herbs and spices.",,,
,Menu,,,,Appetizers - Kids Special,,,,Butter Chicken,16.50,standard,"Creamy tomato-based curry with tender chicken, infused with a delicate blend of aromatic Indian spices.",,,
,Menu,,,,Appetizers - Kids Special,,,,Mango Chicken,16.00,standard,"Boneless chicken cooked with mango and mild sauce, spiced with a touch of ginger.",,,
,Menu,,,,Appetizers - Kids Special,,,,Finger Chips,9.00,standard,"Golden fried potato sticks, typically seasoned with a hint of salt.",,,
,Menu,,,,Appetizers - Kids Special,,,,Chicken Nugget,9.00,standard,Battered and deep-fried pieces of boneless chicken typically served golden brown.,,,
,Menu,,,,Appetizers - Vegetarian,,,,Samosa,10.00,standard,"Triangular pastry stuffed with potatoes and peas deep fried until crispy, served with tamarind sauce.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Veg Platter for 2,21.50,standard,"Combination of mixed pakora, samosa,and onion bhaji. Served with tamarind sauce.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Onion Bhaji,10.50,standard,"Sliced onion spiced and mixed with chick pea and fried until golden, served with tamarind sauce.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Mixed Pakora,10.00,standard,"Mixed vegetables battered with chickpeas & fried, served with tamarind sauce.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Veggie Kathi Roll,14.50,standard,"Cottage cheese, mix vegetable roasted kebab wrapped in a paratha bread.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Paneer Pakora,15.50,standard,"Homemade cottage cheese dipped in batter, served with tamarind sauce.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Garden Special Veg Platter,24.00,standard,"Combination of mix pakora, onion bhaji, paneer pakora & spring roll. Served with tamarind sauce.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Paneer Tikka,16.50,standard,"Cheese marinated with yogurt, herb, spices and grilled in tandoor.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Spring Rolls,12.50,standard,"Thin pastry grilled with veggie and mild spices, served with sweet chilli sauce.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Poppadam Starter,12.50,standard,"Crispy poppadoms fried in oil and served with mango chutney, mixed pickle, raita and kachumber salad.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Pappadam,2.00,standard,"Papadam: Thin, crispy lentil wafer, typically spiced and either fried or baked.",,,
,Menu,,,,Appetizers - Vegetarian,,,,Masala Pappadam,9.50,standard,"Deep-fried crispy lentil wafers topped with chopped onions, cilantro, tomato, green chili, chat masala, and lemon juice.",,,
,Menu,,,,Appetizers - Non-Vegetarian,,,,Seekh Kebab,15.50,standard,"Eight pieces. Spiced lamb mince skewered and roasted in tandoor, served with mint sauce.",,,
,Menu,,,,Appetizers - Non-Vegetarian,,,,Tandoori Chicken,15.00,standard,"Chicken on the bones, marinated overnight in yogurt spices, roasted in tandoor, served with mint sauce.",,,
,Menu,,,,Appetizers - Non-Vegetarian,,,,Chicken Lolipop,16.50,standard,Five pieces. Chicken wings treated with light spices and deep fried.,,,
,Menu,,,,Appetizers - Non-Vegetarian,,,,Chicken Kathi Roll,15.50,standard,Chicken roasted kebab wrapped in a paratha bread.,,,
,Menu,,,,Appetizers - Non-Vegetarian,,,,Fish Tikka,23.00,standard,"Seven pieces. Fish pieces marinated in herbs and spices, cooked in tandoor, served with mint sauce.",,,
