menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Appetisers - Vegetarian,,,,Pappadam (V),2.00,standard,"Thin, crispy Indian flatbread served as an appetizer.",,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Appetisers - Vegetarian,,,,Masala Papadam (V),9.50,standard,"Thin, crispy flatbread flavoured with aromatic spices.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/94922cd76267276a8cc4cd0864631f2b/df992b62433cf6d3cd69e5a8620dbfbd.jpeg
,Menu,,,,Appetisers - Vegetarian,,,,Onion Bhaji (V),10.99,standard,Sliced onion spiced and mixed with chickpea and fried until golden.Served with tamarind sauce.,,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Appetisers - Vegetarian,,,,Samosa (V),10.99,standard,Triangular pastry stuffed with potatoes and peas deep fried until crispy. Served with tamarind sauce.,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/70f8613cab5ee2d66a70756cdbc5af32/ca85146dc398c629e457343a1017089d.jpeg
,Menu,,,,Appetisers - Vegetarian,,,,Mixed Pakora (V),12.99,standard,Mixed vegetables battered with chickpeas then fried. Served with tamarind sauce.,,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Appetisers - Vegetarian,,,,Veggie Kathi Roll (V),14.50,standard,"Cottage cheese, mixed vegetable and roasted kabab wrapped in a paratha bread.",,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Appetisers - Vegetarian,,,,Paneer Pakora (V),15.50,standard,Cottage cheese dipped in batter served with tamarind sauce.,,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Appetisers - Vegetarian,,,,Paneer Tikka (V),18.50,standard,"Cheese marinated with yoghurt, herb, spices and grilled in tandoor.",,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Appetisers - Vegetarian,,,,Garden Special Vegetable Platter (V),25.99,standard,"Mixed pakora, onion bhaji, paneer pakora, and spring roll served with tangy tamarind sauce. Vegetarian delight!",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/aee4bb528e314ea7fd7849c01a85c388/cb769dd8a39199f33cfc3c0023ec21b3.jpeg
,Menu,,,,Appetisers - Vegetarian,,,,Spring Rolls (V),12.50,standard,Thin pastry with vegetables and mild spices served with sweet chilli sauce.,,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Appetisers - Vegetarian,,,,Poppadam Starter (V),12.50,standard,"Crispy poppadoms fried in oil and served with mango chutney, mixed pickle, raita and kachumber salad.",,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Appetisers - Vegetarian,,,,Vegetable Platter for Two (V),28.99,standard,"Combination of mixed pakora, samosa and onion bhaji. Served with tamarind sauce.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/5ab03b6e85736918c6743d14b737ba65/09c766dcf22de3b6651be8e0b67285f7.jpeg
,Menu,,,,Featured Items,,,,Pappadam (V),2.00,standard,"Thin, crispy Indian flatbread served as an appetizer.",,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
