menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Chef Recommendations,,,,Bun Cha Hanoi,25.00,standard,"Hanoi style grilled pork with vermicelli noodles, herbs and dipping sauce.",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/1075f54f3e70be1431630ada4cbb53fe/f6ed6c5de35d1173b172de4e86e58b14.jpeg
,Menu,,,,Chef Recommendations,,,,Braised Lamb Shank Fusion,27.00,standard,Slow cooked lamb shank infused with Asian spices. Comes with rice,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/c878b3fa08157157657bd939ed3dcad9/9fa36496085334271badf67befaca896.jpeg
,Menu,,,,Chef Recommendations,,,,Hong Kong Style Seafood Medley,28.00,standard,Stir fried seafood in a sauce.,,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Chef Recommendations,,,,Steamed Fish Fillet with Special Sauce,27.00,standard,"Steamed fish fillet with soy sauce, ginger, and garlic for a delicate, aromatic flavor. Comes with rice",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/e00562885b64ba87bade5c3fcffcc709/c9e79c0d8f2d295f2bcab4261c94db97.jpeg
,Menu,,,,Chef Recommendations,,,,Charsiu Pork Noodles,28.00,standard,"Egg noodles with char siu pork and pok choy, tossed in savory char siu sauce.",,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Chef Recommendations,,,,Honey Lemon Chicken,26.00,standard,Batter chicken pieces tossed with honey lemon sauce. Comes with rice,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/efe3d5f7508d1063f6dd2112e71d129c/86f7023152840167b8ad9f8dbbecdaef.jpeg
,Menu,,,,Chef Recommendations,,,,Fiery Beef Salad,25.00,standard,Sliced beef with chilli lime dressing and mixed greens. Comes with rice,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/fbe21300be7794b2b0727b12c9319c9a/904e05bdb98625ab0d9d37b7d61ce817.jpeg
,Menu,,,,Chef Recommendations,,,,Tom Kha Delight,23.00,standard,Coconut milk soup with a hint of chilli and herbs. Comes with rice,,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/8915b9dda4b27db48ec6b9786f7b1bcf/663f633515f497f6fddbf660ae3f6306.jpeg
,Menu,,,,Featured items,,,,Pad Thai,23.00,standard,"Stir-fried rice noodles with shrimp, eggs, and bean sprouts, topped with peanuts and tangy tamarind sauce.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/98a9985e5f7c156f6b78ab79d29ad95b/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Featured items,,,,Green Curry,23.00,standard,"Thai green curry with coconut milk, basil and vegetables. Comes with rice",,,,https://tb-static.uber.com/prod/image-proc/processed_images/b3ee0056caebd0dda19b6de84330103d/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Featured items,,,,Panang Curry,23.00,standard,"Simmered curry with coconut milk and Panang curry paste, offering a rich, nutty, and creamy flavor. Comes with rice",,,,https://tb-static.uber.com/prod/image-proc/processed_images/27da18d5159e3f6cb300ef33d59bb431/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Featured items,,,,Crispy Chicken with Cashew Nuts,23.00,standard,"Battered chicken stir-fried with roasted cashew nuts, served with jasmine rice for a satisfying crunch.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/9fea264102eb1ed8007d369b1ed8f477/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Featured items,,,,Honey Lemon Chicken,26.00,standard,Batter chicken pieces tossed with honey lemon sauce. Comes with rice,,,,https://tb-static.uber.com/prod/image-proc/processed_images/d516a17bfcdab64a824d800c8ea66d5b/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Featured items,,,,Black Pepper Blaze,23.00,standard,Spicy stir fried with cracked black pepper. Served with jasmine rice. Comes with rice,,,,https://tb-static.uber.com/prod/image-proc/processed_images/844191ed3a32079e8a506b8a2d3e4198/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Featured items,,,,Red Curry,23.00,standard,"Creamy coconut milk and red curry paste blend for a rich, aromatic dish. Comes with rice",,,,https://tb-static.uber.com/prod/image-proc/processed_images/382bf4c479ff0c752caab47198fa882f/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Featured items,,,,Fiery Beef Salad,25.00,standard,Sliced beef with chilli lime dressing and mixed greens. Comes with rice,,,,https://tb-static.uber.com/prod/image-proc/processed_images/3cd99080c7c806e02b1f9d394bfad6a0/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Featured items,,,,Tom Kha Delight,23.00,standard,Coconut milk soup with a hint of chilli and herbs. Comes with rice,,,,https://tb-static.uber.com/prod/image-proc/processed_images/58a62d6355a00e1269f551775931034e/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Stir Fry,,,,Sweet and Sour Fusion,23.00,standard,"Stir-fried pineapple in a sweet and sour sauce, served with jasmine rice for a delightful fusion experience.",,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Stir Fry,,,,Ginger Garlic Delight,23.00,standard,Stir fried with vegetables in stir fried sauce. Served with jasmine rice.,,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Stir Fry,,,,Crispy Chicken with Cashew Nuts,23.00,standard,"Battered chicken stir-fried with roasted cashew nuts, served with jasmine rice for a satisfying crunch.",,,Contains Nuts,https://tb-static.uber.com/prod/image-proc/processed_images/9fea264102eb1ed8007d369b1ed8f477/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Stir Fry,,,,Peanut Satay Stir Fry,23.00,standard,Peanut sauce stir fried with vegetables served with jasmine rice. Comes with rice,,,Popular,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Stir Fry,,,,Lemongrass Infusion,23.00,standard,Lemongrass stir fried with herb and vegetables. Served with jasmine rice. Comes with rice,,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
,Menu,,,,Stir Fry,,,,Black Pepper Blaze,23.00,standard,Spicy stir fried with cracked black pepper. Served with jasmine rice. Comes with rice,,,Spicy,https://tb-static.uber.com/prod/image-proc/processed_images/844191ed3a32079e8a506b8a2d3e4198/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Entrées,,,,Pork Crispy Spring Rolls,15.00,standard,"Crispy fried pork spring rolls, served with tangy tamarin sauce for a delightful crunch.",,,Spicy,https://tb-static.uber.com/prod/image-proc/processed_images/ee883a9eaa007059bec416bd127264b4/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Entrées,,,,Fresh Rice Paper Rolls,15.00,standard,"Rolled rice paper with vermicelli noodles, served fresh with a side of sauce.",,,,https://tb-static.uber.com/prod/image-proc/processed_images/1d4bfc852962f91bcd9666529fd9c681/bc9c318a9c96996e2d990faf2b0c65f6.jpeg
,Menu,,,,Entrées,,,,Fried Chicken Wings,15.00,standard,Tossed in Noi sauce. No GF,,,,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_restaurants_300x300.png
